PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 910 900 901 902 903 904 905 906 907 930 931 932 940 941 942 
1.74494E+00 1.05379E-01 2.85208E-02 1.74493E+00 1.05379E-01 1.51593E+00 8.57490E-02 2.48821E+02 2.09563E+00 1.16257E-01 6.63398E+01 6.41233E+00 3.61163E-01 -2.08094E+05 6.41136E+00 3.61077E-01 2.08831E+05 
1.77193E+00 1.20622E-01 3.54659E-02 1.77192E+00 1.20621E-01 1.54674E+00 1.03202E-01 2.68006E+02 2.14045E+00 1.41996E-01 7.35771E+01 6.54239E+00 4.35969E-01 -2.49521E+05 6.54138E+00 4.35883E-01 2.50323E+05 
1.83546E+00 1.50121E-01 4.45497E-02 1.83545E+00 1.50120E-01 1.60673E+00 1.30744E-01 2.88172E+02 2.22447E+00 1.80749E-01 8.11797E+01 6.79477E+00 5.52729E-01 -2.82945E+05 6.79372E+00 5.52642E-01 2.83816E+05 
1.95225E+00 1.95726E-01 5.66126E-02 1.95223E+00 1.95724E-01 1.70654E+00 1.69547E-01 3.09482E+02 2.36083E+00 2.33943E-01 8.92154E+01 7.21321E+00 7.16206E-01 -2.81160E+05 7.21213E+00 7.16119E-01 2.82103E+05 
2.11160E+00 2.51708E-01 7.28332E-02 2.11158E+00 2.51706E-01 1.84283E+00 2.17251E-01 3.31857E+02 2.54713E+00 2.99326E-01 9.76509E+01 7.78486E+00 9.17066E-01 -2.79280E+05 7.78374E+00 9.16978E-01 2.80299E+05 
2.32088E+00 3.19607E-01 9.49783E-02 2.32086E+00 3.19603E-01 2.02196E+00 2.75191E-01 3.55337E+02 2.79204E+00 3.78711E-01 1.06505E+02 8.53624E+00 1.16085E+00 -2.77307E+05 8.53507E+00 1.16076E+00 2.78405E+05 
2.58839E+00 4.01030E-01 1.25712E-01 2.58835E+00 4.01024E-01 2.25111E+00 3.44764E-01 3.79967E+02 3.10532E+00 4.73994E-01 1.15798E+02 9.49719E+00 1.45334E+00 -2.75243E+05 9.49598E+00 1.45326E+00 2.76425E+05 
2.84120E+00 4.74351E-01 1.57907E-01 2.84114E+00 4.74342E-01 2.46784E+00 4.07486E-01 3.99843E+02 3.40157E+00 5.59854E-01 1.23304E+02 1.04057E+01 1.71682E+00 -2.73585E+05 1.04044E+01 1.71674E+00 2.74835E+05 
2.92343E+00 4.97614E-01 1.69121E-01 2.92337E+00 4.97604E-01 2.53837E+00 4.27400E-01 4.05793E+02 3.49796E+00 5.87106E-01 1.25553E+02 1.07012E+01 1.80043E+00 -2.73091E+05 1.07000E+01 1.80035E+00 2.74360E+05 
